timeStamp	dateFrac	cntDev	predDev
2016-05-18 07:00:00	736102.291667	17709	15040
2016-05-18 08:00:00	736102.333333	24378	18547
2016-05-18 09:00:00	736102.375	22951	25212
2016-05-18 10:00:00	736102.416667	23864	27403
2016-05-18 11:00:00	736102.458333	12629	26417
2016-05-18 12:00:00	736102.5	28583	31019
2016-05-18 13:00:00	736102.541667	33424	39549
2016-05-18 14:00:00	736102.583333	34070	43522
2016-05-18 15:00:00	736102.625	28066	44341
2016-05-18 16:00:00	736102.666667	32390	42245
2016-05-18 17:00:00	736102.708333	30069	38174
2016-05-18 18:00:00	736102.75	29476	28702
2016-05-18 19:00:00	736102.791667	22090	17594
2016-05-18 20:00:00	736102.833333	22038	10453
2016-05-18 21:00:00	736102.875	15382	8417
2016-05-18 22:00:00	736102.916667	3447	4822
2016-05-18 23:00:00	736102.958333	6279	3662
2016-05-19 00:00:00	736103.0	8230	4767
2016-05-19 01:00:00	736103.041667	8626	5025
2016-05-19 02:00:00	736103.083333	7863	4803
2016-05-19 03:00:00	736103.125	15400	7187
2016-05-19 04:00:00	736103.166667	23135	11023
2016-05-19 05:00:00	736103.208333	23344	12496
2016-05-19 06:00:00	736103.25	18555	13046
2016-05-19 07:00:00	736103.291667	5691	15035
2016-05-19 08:00:00	736103.333333	16084	27612
2016-05-19 09:00:00	736103.375	31841	40766
2016-05-19 10:00:00	736103.416667	41207	43922
2016-05-19 11:00:00	736103.458333	46664	44272
2016-05-19 12:00:00	736103.5	52115	46621
2016-05-19 13:00:00	736103.541667	65242	51336
2016-05-19 14:00:00	736103.583333	67066	52235
2016-05-19 15:00:00	736103.625	59142	46671
2016-05-19 16:00:00	736103.666667	42332	43012
2016-05-19 17:00:00	736103.708333	35465	36935
2016-05-19 18:00:00	736103.75	31168	29819
2016-05-19 19:00:00	736103.791667	21294	19643
2016-05-19 20:00:00	736103.833333	3730	12158
2016-05-19 21:00:00	736103.875	1269	9901
2016-05-19 22:00:00	736103.916667	850	9553
2016-05-19 23:00:00	736103.958333	2041	10087
2016-05-20 00:00:00	736104.0	5886	10016
2016-05-20 01:00:00	736104.041667	7102	7586
2016-05-20 02:00:00	736104.083333	8258	4806
2016-05-20 03:00:00	736104.125	13453	7390
2016-05-20 04:00:00	736104.166667	20878	13118
2016-05-20 05:00:00	736104.208333	24127	17671
2016-05-20 06:00:00	736104.25	33750	25419
2016-05-20 07:00:00	736104.291667	30111	34120
2016-05-20 08:00:00	736104.333333	27246	47014
2016-05-20 09:00:00	736104.375	6470	56793
2016-05-20 10:00:00	736104.416667	7561	62188
2016-05-20 11:00:00	736104.458333	24588	61234
2016-05-20 12:00:00	736104.5	46196	57323
2016-05-20 13:00:00	736104.541667	54937	49768
2016-05-20 14:00:00	736104.583333	54667	43053
2016-05-20 15:00:00	736104.625	45053	38773
2016-05-20 16:00:00	736104.666667	36262	35854
2016-05-20 17:00:00	736104.708333	28489	26598
2016-05-20 18:00:00	736104.75	15646	20092
2016-05-20 19:00:00	736104.791667	5351	14962
2016-05-20 20:00:00	736104.833333	4544	10779
2016-05-20 21:00:00	736104.875	5462	7473
2016-05-20 22:00:00	736104.916667	6263	5355
2016-05-20 23:00:00	736104.958333	7170	5131
2016-05-21 00:00:00	736105.0	8569	5490
2016-05-21 01:00:00	736105.041667	8676	5325
2016-05-21 02:00:00	736105.083333	8243	4956
2016-05-21 03:00:00	736105.125	14865	8742
2016-05-21 04:00:00	736105.166667	22639	14773
2016-05-21 05:00:00	736105.208333	25415	18002
2016-05-21 06:00:00	736105.25	25632	20196
2016-05-21 07:00:00	736105.291667	19229	19930
2016-05-21 08:00:00	736105.333333	14919	21252
2016-05-21 09:00:00	736105.375	9262	24909
2016-05-21 10:00:00	736105.416667	9275	26450
2016-05-21 11:00:00	736105.458333	21301	32093
2016-05-21 12:00:00	736105.5	40663	36214
2016-05-21 13:00:00	736105.541667	45191	35873
2016-05-21 14:00:00	736105.583333	50035	33167
2016-05-21 15:00:00	736105.625	39436	29737
2016-05-21 16:00:00	736105.666667	37404	28606
2016-05-21 17:00:00	736105.708333	28706	24476
2016-05-21 18:00:00	736105.75	24879	20160
2016-05-21 19:00:00	736105.791667	19548	17065
2016-05-21 20:00:00	736105.833333	11319	15571
2016-05-21 21:00:00	736105.875	8976	13044
2016-05-21 22:00:00	736105.916667	9481	9941
2016-05-21 23:00:00	736105.958333	10729	5890
2016-05-22 00:00:00	736106.0	7588	4287
2016-05-22 01:00:00	736106.041667	5698	3209
2016-05-22 02:00:00	736106.083333	2940	1005
2016-05-22 03:00:00	736106.125	2273	2145
2016-05-22 04:00:00	736106.166667	4347	5822
2016-05-22 05:00:00	736106.208333	13980	8924
2016-05-22 06:00:00	736106.25	14792	9757
2016-05-22 07:00:00	736106.291667	15170	11820
2016-05-22 08:00:00	736106.333333	8851	12052
2016-05-22 09:00:00	736106.375	14454	13611
2016-05-22 10:00:00	736106.416667	16499	12025
2016-05-22 11:00:00	736106.458333	15711	10541
2016-05-22 12:00:00	736106.5	9624	8488
2016-05-22 13:00:00	736106.541667	1883	8397
2016-05-22 14:00:00	736106.583333	1494	11348
2016-05-22 15:00:00	736106.625	3103	13980
2016-05-22 16:00:00	736106.666667	4132	15465
2016-05-22 17:00:00	736106.708333	4754	14667
2016-05-22 18:00:00	736106.75	5526	13377
2016-05-22 19:00:00	736106.791667	4631	10974
2016-05-22 20:00:00	736106.833333	4315	14926
2016-05-22 21:00:00	736106.875	3097	5672
2016-05-22 22:00:00	736106.916667	3855	4160
2016-05-22 23:00:00	736106.958333	3691	2781
2016-05-23 00:00:00	736107.0	5010	5826
2016-05-23 01:00:00	736107.041667	5937	6365
2016-05-23 02:00:00	736107.083333	6953	7307
2016-05-23 03:00:00	736107.125	11653	11437
2016-05-23 04:00:00	736107.166667	17163	16525
2016-05-23 05:00:00	736107.208333	22645	18940
2016-05-23 06:00:00	736107.25	26291	19011
2016-05-23 07:00:00	736107.291667	25224	23606
2016-05-23 08:00:00	736107.333333	20628	23525
2016-05-23 09:00:00	736107.375	14330	26738
2016-05-23 10:00:00	736107.416667	13567	25919
2016-05-23 11:00:00	736107.458333	12744	26713
2016-05-23 12:00:00	736107.5	14384	31178
2016-05-23 13:00:00	736107.541667	22763	34099
2016-05-23 14:00:00	736107.583333	27710	34914
2016-05-23 15:00:00	736107.625	25758	33838
2016-05-23 16:00:00	736107.666667	17718	32043
2016-05-23 17:00:00	736107.708333	9287	29733
2016-05-23 18:00:00	736107.75	14450	26506
2016-05-23 19:00:00	736107.791667	12470	21343
2016-05-23 20:00:00	736107.833333	11552	13599
2016-05-23 21:00:00	736107.875	4925	9204
2016-05-23 22:00:00	736107.916667	4297	8113
2016-05-23 23:00:00	736107.958333	4277	8219
2016-05-24 00:00:00	736108.0	3393	5560
2016-05-24 01:00:00	736108.041667	4476	5395
2016-05-24 02:00:00	736108.083333	5339	5060
2016-05-24 03:00:00	736108.125	7801	8712
2016-05-24 04:00:00	736108.166667	12819	14062
2016-05-24 05:00:00	736108.208333	18290	16728
2016-05-24 06:00:00	736108.25	17230	19538
2016-05-24 07:00:00	736108.291667	28566	26286
2016-05-24 08:00:00	736108.333333	44775	33158
2016-05-24 09:00:00	736108.375	45520	38848
2016-05-24 10:00:00	736108.416667	44664	41770
2016-05-24 11:00:00	736108.458333	32762	44662
2016-05-24 12:00:00	736108.5	44479	49676
2016-05-24 13:00:00	736108.541667	43977	52306
2016-05-24 14:00:00	736108.583333	38608	55147
2016-05-24 15:00:00	736108.625	26024	58004
2016-05-24 16:00:00	736108.666667	22872	59437
2016-05-24 17:00:00	736108.708333	26902	56388
2016-05-24 18:00:00	736108.75	26637	44747
2016-05-24 19:00:00	736108.791667	19475	31727
