timeStamp	dateFrac	isHoliday	isSunday	cnt	predSimple	predTrig	predHourDay	predHourWeek	predHS	cntMA	predMA	devMA	predDev	alertVal	diffMA
2016-05-11 22:00:00	736095.916667	0	0	24349	194043	52289	59431	14772	13312	44874	34665	12737	4086	0	0
2016-05-11 23:00:00	736095.958333	0	0	12077	194065	30460	47113	1276	0	25924	15729	12717	2925	0	0
2016-05-12 00:00:00	736096.0	0	0	10200	194087	3006	34608	-462	0	15542	4437	13632	4031	0	0
2016-05-12 01:00:00	736096.041667	0	0	6007	194108	12615	28734	-5586	0	9428	0	11957	4288	0	0
2016-05-12 02:00:00	736096.083333	0	0	6219	194130	37506	28260	-5352	0	7475	0	9455	4066	0	0
2016-05-12 03:00:00	736096.125	0	0	16209	194151	75984	34472	16	0	9478	0	12990	6451	0	0
2016-05-12 04:00:00	736096.166667	0	0	40680	194173	125429	48693	15608	14169	21036	4723	22408	10287	0	0
2016-05-12 05:00:00	736096.208333	0	0	81988	194195	182471	80711	54863	54387	46292	22852	29388	11759	0	0
2016-05-12 06:00:00	736096.25	0	0	225738	194216	243226	210452	210672	214020	116135	94192	28301	12310	0	0
2016-05-12 07:00:00	736096.291667	0	0	403388	194238	303555	346647	372070	379380	237038	215929	27161	14298	0	0
2016-05-12 08:00:00	736096.333333	0	0	496605	194259	359347	427189	459791	469254	375243	354218	27034	26875	0	0
2016-05-12 09:00:00	736096.375	0	0	528109	194281	406802	475603	513693	524479	476034	457704	25861	40029	0	0
2016-05-12 10:00:00	736096.416667	0	0	477113	194303	442688	431636	464961	474550	500609	489427	19593	43185	0	0
2016-05-12 11:00:00	736096.458333	0	0	488428	194324	464560	422036	456962	466355	497883	488461	15921	43535	0	0
2016-05-12 12:00:00	736096.5	0	0	447246	194346	470930	424404	449281	458486	470929	466463	17608	45884	0	0
2016-05-12 13:00:00	736096.541667	0	0	476763	194367	461365	411315	434169	443003	470812	455948	29608	50600	0	0
2016-05-12 14:00:00	736096.583333	0	0	489953	194389	436518	425324	462014	471531	471320	457673	28332	51499	0	0
2016-05-12 15:00:00	736096.625	0	0	488931	194410	398084	418678	455490	464847	485215	459793	32086	45934	0	0
2016-05-12 16:00:00	736096.666667	0	0	426072	194432	348684	370764	406570	414726	468318	450368	22892	42276	0	0
2016-05-12 17:00:00	736096.708333	0	0	358801	194454	291685	307850	326683	332879	424601	404150	26274	36199	0	0
2016-05-12 18:00:00	736096.75	0	0	154289	194475	230975	157542	139054	140644	313054	296083	22213	29082	0	0
2016-05-12 19:00:00	736096.791667	0	0	107345	194497	170690	124852	98977	99584	206811	191035	21428	18906	0	0
2016-05-12 20:00:00	736096.833333	0	0	60787	194518	114942	89625	58053	57655	107473	99294	11318	11422	0	0
2016-05-12 21:00:00	736096.875	0	0	39170	194540	67531	70938	37120	36209	69100	64482	6277	9165	0	0
2016-05-12 22:00:00	736096.916667	0	0	22674	194562	31690	54072	20660	19345	40877	37736	3850	8816	0	0
2016-05-12 23:00:00	736096.958333	0	0	11529	194583	9861	41754	6566	4905	24457	20153	5644	9350	0	0
2016-05-13 00:00:00	736097.0	0	0	9925	194605	-49923	21739	-399	0	14709	8083	8759	9279	0	0
2016-05-13 01:00:00	736097.041667	0	0	5669	194626	-40314	15865	-5823	0	9041	1635	9341	6849	0	0
2016-05-13 02:00:00	736097.083333	0	0	5979	194648	-15423	15391	-5813	0	7191	0	9121	4070	0	0
2016-05-13 03:00:00	736097.125	0	0	14957	194670	23054	21603	-35	0	8868	0	12074	6653	0	0
2016-05-13 04:00:00	736097.166667	0	0	41059	194691	72499	35824	16725	15313	20665	5104	21474	12382	0	0
2016-05-13 05:00:00	736097.208333	0	0	74528	194713	129541	67842	58910	58533	43514	24615	23899	16935	0	0
2016-05-13 06:00:00	736097.25	0	0	240087	194734	190296	197583	209663	212986	118558	95610	28750	24683	0	0
2016-05-13 07:00:00	736097.291667	0	0	402056	194756	250625	333778	358798	365782	238890	212433	33956	33384	0	0
2016-05-13 08:00:00	736097.333333	0	0	486229	194777	306417	414320	436777	445675	376124	341481	42981	46277	0	0
2016-05-13 09:00:00	736097.375	0	0	521365	194799	353872	462734	476241	486107	469883	432521	45845	56056	0	0
2016-05-13 10:00:00	736097.416667	0	0	460995	194821	389758	418767	424425	433020	489529	454934	42838	61451	0	0
2016-05-13 11:00:00	736097.458333	0	0	437487	194842	411630	409167	425846	434475	473282	451200	31896	60498	0	0
2016-05-13 12:00:00	736097.5	0	0	435618	194864	418000	411535	457945	467362	444700	444952	29994	56587	0	0
2016-05-13 13:00:00	736097.541667	0	0	438146	194885	408435	398446	431986	440766	437083	447534	22623	49032	0	0
2016-05-13 14:00:00	736097.583333	0	0	459157	194907	383588	412455	448727	457918	444307	455348	22539	42316	0	0
2016-05-13 15:00:00	736097.625	0	0	438733	194929	345154	405809	430107	438841	445345	445841	2050	38036	0	0
2016-05-13 16:00:00	736097.666667	0	0	384738	194950	295754	357895	364920	372054	427542	422937	9011	35117	0	0
2016-05-13 17:00:00	736097.708333	0	0	325451	194972	238755	294981	297231	302704	382974	371199	18416	25862	0	0
2016-05-13 18:00:00	736097.75	0	0	139533	194993	178045	144674	123370	124575	283240	266444	21237	19355	0	0
2016-05-13 19:00:00	736097.791667	0	0	95500	195015	117760	111983	78184	78280	186828	168519	22778	14225	0	0
2016-05-13 20:00:00	736097.833333	0	0	53638	195037	62012	76756	44810	44087	96223	82314	17485	10042	0	0
2016-05-13 21:00:00	736097.875	0	0	41488	195058	14601	58069	30550	29477	63542	50614	16309	6736	0	0
2016-05-13 22:00:00	736097.916667	0	0	25439	195080	-21239	41203	15884	14451	40188	29338	13345	4619	0	0
2016-05-13 23:00:00	736097.958333	0	0	15439	195101	-43068	28885	3991	2266	27455	15398	14807	4394	0	0
2016-05-14 00:00:00	736098.0	0	0	11971	195123	-94928	-35647	653	0	17616	5572	14791	4753	0	0
2016-05-14 01:00:00	736098.041667	0	0	5598	195145	-85318	-41521	-5513	0	11002	755	13194	4588	0	0
2016-05-14 02:00:00	736098.083333	0	0	5569	195166	-60427	-41995	-6174	0	7712	0	10140	4219	0	0
2016-05-14 03:00:00	736098.125	0	0	17453	195188	-21949	-35783	-303	0	9540	0	13545	8005	0	0
2016-05-14 04:00:00	736098.166667	0	0	36108	195209	27494	-21562	10569	9006	19710	3002	23131	14037	0	0
2016-05-14 05:00:00	736098.208333	0	0	46619	195231	84537	10455	30092	29008	33393	12671	25973	17265	0	0
2016-05-14 06:00:00	736098.25	0	0	166683	195252	145292	140196	139611	141215	83136	59743	29097	19459	0	0
2016-05-14 07:00:00	736098.291667	0	0	275273	195274	205620	276391	249688	253994	162858	141405	26566	19193	0	0
2016-05-14 08:00:00	736098.333333	0	0	349560	195296	261412	356933	333939	340313	263838	245174	24361	20516	0	0
2016-05-14 09:00:00	736098.375	0	0	392643	195317	308867	405347	383841	391439	339158	328582	16427	24172	0	0
2016-05-14 10:00:00	736098.416667	0	0	358593	195339	344753	361380	351547	358353	366932	363368	6595	25713	0	0
2016-05-14 11:00:00	736098.458333	0	0	322099	195360	366626	351780	330465	336753	357778	362181	10398	31357	0	0
